"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,hit,strikeout,batting_avg,p_era,p_pitchout,p_relief_no_out,p_starting_p,woba,xwoba,sweet_spot_percent,barrel_batted_rate,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent
"Ryan, Joe",657746,2023,27,29,161.2,155,197,0.248,4.51,0,0,29,0.316,0.291,34,8.7,41.6,79.79899,94.41234,26.8,55.1
"Ohtani, Shohei",660271,2023,28,23,132,85,167,0.184,3.14,0,0,23,0.277,0.302,34,10.1,35,73.97433,93.44274,30.8,46.7
"Irvin, Jake",663623,2023,26,24,121,118,99,0.255,4.61,0,0,24,0.335,0.344,33.1,10.3,39.6,80.19321,94.67182,17.8,43.7
"Sandoval, Patrick",663776,2023,26,28,144.2,145,128,0.256,4.11,0,0,28,0.318,0.332,38,7,35.1,76.33448,93.45608,27.7,46.6
"Singer, Brady",663903,2023,26,29,159.2,182,133,0.287,5.52,0,0,29,0.346,0.339,34.8,7.8,48.6,80.37926,95.27544,22.7,45.6
"Valdez, Framber",664285,2023,29,31,198,166,200,0.228,3.45,0,0,31,0.287,0.32,30.9,8,45.6,81.84459,95.1013,26.7,47.2
"Javier, Cristian",664299,2023,26,31,162,143,159,0.234,4.56,0,0,31,0.317,0.323,38.1,9.4,38.3,78.87718,93.87623,27.1,48
"Kremer, Dean",665152,2023,27,32,172.2,171,157,0.254,4.12,0,0,32,0.317,0.339,36.9,8.9,40.3,79.0523,94.39378,24,47.7
"Garrett, Braxton",666129,2023,25,31,159.2,154,156,0.25,3.66,0,0,30,0.307,0.328,32.2,7.8,45.1,78.9374,95.01376,25.3,47.2
"Luzardo, Jesús",666200,2023,25,32,178.2,162,208,0.239,3.58,0,0,32,0.307,0.307,34.7,9.5,40,78.47434,94.42148,31.4,48.6
"Gallen, Zac",668678,2023,27,34,210,188,220,0.238,3.47,0,0,34,0.289,0.314,36.4,9.2,46.2,82.02499,95.00387,26.3,47.2
"Ashcraft, Graham",668933,2023,25,26,145.2,148,111,0.265,4.76,0,0,26,0.339,0.34,34,6.9,38.9,76.72042,94.14382,22.1,48.2
"Gore, MacKenzie",669022,2023,24,27,136.1,134,151,0.258,4.42,0,0,27,0.339,0.347,35.1,12.1,43.7,78.41923,94.96701,27.9,48.5
"Nelson, Ryne",669194,2023,25,29,144,159,96,0.284,5.31,0,0,27,0.357,0.349,37.1,11.6,42.7,80.70391,94.89792,20.3,49.8
